landscape_id,split,stratum,horizon,metric,relative_error_level,largest_tested_epsilon,largest_tested_region,accepted_positive_epsilon_count,first_failing_epsilon,all_tested_positive_epsilons_pass
S01,source,regular-sensitivity,1,endpoint,0.01,0.1,stress,7,,True
S01,source,regular-sensitivity,1,endpoint,0.05,0.1,stress,7,,True
S01,source,regular-sensitivity,1,endpoint,0.1,0.1,stress,7,,True
S01,source,regular-sensitivity,1,endpoint,0.2,0.1,stress,7,,True
S01,source,regular-sensitivity,5,endpoint,0.01,0.001,confirmatory,3,0.003,False
S01,source,regular-sensitivity,5,endpoint,0.05,0.01,extended-local,5,0.03,False
S01,source,regular-sensitivity,5,endpoint,0.1,0.01,extended-local,5,0.03,False
S01,source,regular-sensitivity,5,endpoint,0.2,0.03,stress,6,0.1,False
S01,source,regular-sensitivity,20,endpoint,0.01,0.0003,confirmatory,2,0.001,False
S01,source,regular-sensitivity,20,endpoint,0.05,0.001,confirmatory,3,0.003,False
S01,source,regular-sensitivity,20,endpoint,0.1,0.003,extended-local,4,0.01,False
S01,source,regular-sensitivity,20,endpoint,0.2,0.01,extended-local,5,0.03,False
S01,source,regular-sensitivity,50,endpoint,0.01,0.001,confirmatory,3,0.003,False
S01,source,regular-sensitivity,50,endpoint,0.05,0.003,extended-local,4,0.01,False
S01,source,regular-sensitivity,50,endpoint,0.1,0.01,extended-local,5,0.03,False
S01,source,regular-sensitivity,50,endpoint,0.2,0.01,extended-local,5,0.03,False
S02,source,regular-sensitivity,1,endpoint,0.01,0.1,stress,7,,True
S02,source,regular-sensitivity,1,endpoint,0.05,0.1,stress,7,,True
S02,source,regular-sensitivity,1,endpoint,0.1,0.1,stress,7,,True
S02,source,regular-sensitivity,1,endpoint,0.2,0.1,stress,7,,True
S02,source,regular-sensitivity,5,endpoint,0.01,0.01,extended-local,5,0.03,False
S02,source,regular-sensitivity,5,endpoint,0.05,0.1,stress,7,,True
S02,source,regular-sensitivity,5,endpoint,0.1,0.1,stress,7,,True
S02,source,regular-sensitivity,5,endpoint,0.2,0.1,stress,7,,True
S02,source,regular-sensitivity,20,endpoint,0.01,0.003,extended-local,4,0.01,False
S02,source,regular-sensitivity,20,endpoint,0.05,0.01,extended-local,5,0.03,False
S02,source,regular-sensitivity,20,endpoint,0.1,0.03,stress,6,0.1,False
S02,source,regular-sensitivity,20,endpoint,0.2,0.1,stress,7,,True
S02,source,regular-sensitivity,50,endpoint,0.01,0.003,extended-local,4,0.01,False
S02,source,regular-sensitivity,50,endpoint,0.05,0.01,extended-local,5,0.03,False
S02,source,regular-sensitivity,50,endpoint,0.1,0.03,stress,6,0.1,False
S02,source,regular-sensitivity,50,endpoint,0.2,0.03,stress,6,0.1,False
S03,source,regular-sensitivity,1,endpoint,0.01,0.1,stress,7,,True
S03,source,regular-sensitivity,1,endpoint,0.05,0.1,stress,7,,True
S03,source,regular-sensitivity,1,endpoint,0.1,0.1,stress,7,,True
S03,source,regular-sensitivity,1,endpoint,0.2,0.1,stress,7,,True
S03,source,regular-sensitivity,5,endpoint,0.01,0.003,extended-local,4,0.01,False
S03,source,regular-sensitivity,5,endpoint,0.05,0.01,extended-local,5,0.03,False
S03,source,regular-sensitivity,5,endpoint,0.1,0.03,stress,6,0.1,False
S03,source,regular-sensitivity,5,endpoint,0.2,0.1,stress,7,,True
S03,source,regular-sensitivity,20,endpoint,0.01,0.001,confirmatory,3,0.003,False
S03,source,regular-sensitivity,20,endpoint,0.05,0.003,extended-local,4,0.01,False
S03,source,regular-sensitivity,20,endpoint,0.1,0.01,extended-local,5,0.03,False
S03,source,regular-sensitivity,20,endpoint,0.2,0.01,extended-local,5,0.03,False
S03,source,regular-sensitivity,50,endpoint,0.01,0.0003,confirmatory,2,0.001,False
S03,source,regular-sensitivity,50,endpoint,0.05,0.001,confirmatory,3,0.003,False
S03,source,regular-sensitivity,50,endpoint,0.1,0.003,extended-local,4,0.01,False
S03,source,regular-sensitivity,50,endpoint,0.2,0.01,extended-local,5,0.03,False
S04,source,regular-sensitivity,1,endpoint,0.01,0.1,stress,7,,True
S04,source,regular-sensitivity,1,endpoint,0.05,0.1,stress,7,,True
S04,source,regular-sensitivity,1,endpoint,0.1,0.1,stress,7,,True
S04,source,regular-sensitivity,1,endpoint,0.2,0.1,stress,7,,True
S04,source,regular-sensitivity,5,endpoint,0.01,0.003,extended-local,4,0.01,False
S04,source,regular-sensitivity,5,endpoint,0.05,0.03,stress,6,0.1,False
S04,source,regular-sensitivity,5,endpoint,0.1,0.03,stress,6,0.1,False
S04,source,regular-sensitivity,5,endpoint,0.2,0.1,stress,7,,True
S04,source,regular-sensitivity,20,endpoint,0.01,0.001,confirmatory,3,0.003,False
S04,source,regular-sensitivity,20,endpoint,0.05,0.003,extended-local,4,0.01,False
S04,source,regular-sensitivity,20,endpoint,0.1,0.01,extended-local,5,0.03,False
S04,source,regular-sensitivity,20,endpoint,0.2,0.01,extended-local,5,0.03,False
S04,source,regular-sensitivity,50,endpoint,0.01,0.0003,confirmatory,2,0.001,False
S04,source,regular-sensitivity,50,endpoint,0.05,0.001,confirmatory,3,0.003,False
S04,source,regular-sensitivity,50,endpoint,0.1,0.003,extended-local,4,0.01,False
S04,source,regular-sensitivity,50,endpoint,0.2,0.003,extended-local,4,0.01,False
S05,source,regular-sensitivity,1,endpoint,0.01,0.1,stress,7,,True
S05,source,regular-sensitivity,1,endpoint,0.05,0.1,stress,7,,True
S05,source,regular-sensitivity,1,endpoint,0.1,0.1,stress,7,,True
S05,source,regular-sensitivity,1,endpoint,0.2,0.1,stress,7,,True
S05,source,regular-sensitivity,5,endpoint,0.01,0.01,extended-local,5,0.03,False
S05,source,regular-sensitivity,5,endpoint,0.05,0.03,stress,6,0.1,False
S05,source,regular-sensitivity,5,endpoint,0.1,0.1,stress,7,,True
S05,source,regular-sensitivity,5,endpoint,0.2,0.1,stress,7,,True
S05,source,regular-sensitivity,20,endpoint,0.01,0.001,confirmatory,3,0.003,False
S05,source,regular-sensitivity,20,endpoint,0.05,0.003,extended-local,4,0.01,False
