landscape_id,split,stratum,horizon,log_horizon,C_endpoint_l1,C_max_path_l1,p0_id,reward_id,mutation_id,clean_terminal,clean_boundary_min_probability,clean_boundary_pressure,selection_log_factor_spread_per_step,inferred_initial_boundary_min_probability,clean_log_odds_linear_max_abs_error
S01,source,regular-sensitivity,1,0.0,0.447295975280539,0.447295975280539,mixed,dominant_a,uniform_off_diagonal,"[0.21326792289706445,0.3043000853427558,0.48243199176017965]",0.21326792289706445,1.5452060497314315,0.10000000000000003,0.2000000000000001,1.1102230246251565e-15
S01,source,regular-sensitivity,5,1.6094379124341003,1.7057443238824315,1.7057443238824315,mixed,dominant_a,uniform_off_diagonal,"[0.2714051970286356,0.3170558699633255,0.41153893300803884]",0.2714051970286356,1.3041423828014223,0.10000000000000003,0.2000000000000001,1.1102230246251565e-15
S01,source,regular-sensitivity,20,2.995732273553991,1.6178839578693451,2.0431125069523084,mixed,dominant_a,uniform_off_diagonal,"[0.52905647749322,0.2919435019325063,0.17900002057427372]",0.17900002057427372,1.720369358201312,0.10000000000000003,0.2000000000000001,1.1102230246251565e-15
S01,source,regular-sensitivity,50,3.912023005428146,21.689411307414396,21.689411307414396,mixed,dominant_a,uniform_off_diagonal,"[0.8772142468731454,0.10800919537116982,0.014776557755684781]",0.014776557755684781,4.2147132893906845,0.10000000000000003,0.2000000000000001,1.1102230246251565e-15
S02,source,regular-sensitivity,1,0.0,0.01254900895379285,0.01254900895379285,balanced,dominant_b,forward_cycle,"[0.32224807772203845,0.34734609562962415,0.3304058266483374]",0.32224807772203845,1.1324336023566182,0.07500000000000004,0.3333333333333333,2.983724378680108e-16
S02,source,regular-sensitivity,5,1.6094379124341003,0.19365382852136104,0.19365382852136104,balanced,dominant_b,forward_cycle,"[0.27869593630004535,0.4055001946055472,0.3158038690944073]",0.27869593630004535,1.2776339255117486,0.07500000000000004,0.3333333333333333,2.983724378680108e-16
S02,source,regular-sensitivity,20,2.995732273553991,2.5537390387812984,2.5537390387812984,balanced,dominant_b,forward_cycle,"[0.14024438316608837,0.6285317192117627,0.2312238976221491]",0.14024438316608837,1.9643687841079458,0.07500000000000004,0.3333333333333333,2.983724378680108e-16
S02,source,regular-sensitivity,50,3.912023005428146,8.127397814572994,8.127397814572994,balanced,dominant_b,forward_cycle,"[0.021271424997296076,0.9044840065682137,0.07424456843449029]",0.021271424997296076,3.8503906563725345,0.07500000000000004,0.3333333333333333,2.983724378680108e-16
S03,source,regular-sensitivity,1,0.0,0.736128431726147,0.736128431726147,skew_a,weak,uniform_mix,"[0.7013975491964067,0.19939980409302516,0.09920264671056807]",0.09920264671056807,2.310590584497148,0.00999999999999991,0.09999999999999996,4.440892098500626e-16
S03,source,regular-sensitivity,5,1.6094379124341003,3.680524581586109,3.680524581586109,skew_a,weak,uniform_mix,"[0.7069386560313311,0.19699550812095584,0.09606583584771308]",0.09606583584771308,2.342721532480518,0.00999999999999991,0.09999999999999996,4.440892098500626e-16
S03,source,regular-sensitivity,20,2.995732273553991,14.686808254627987,14.686808254627987,skew_a,weak,uniform_mix,"[0.7270154892403149,0.18795166233038774,0.08503284842929734]",0.08503284842929734,2.4647176450358237,0.00999999999999991,0.09999999999999996,4.440892098500626e-16
S03,source,regular-sensitivity,50,3.912023005428146,36.19249854312967,36.19249854312967,skew_a,weak,uniform_mix,"[0.7638475556092894,0.16996716413019824,0.06618528026051237]",0.06618528026051237,2.7152971933234062,0.00999999999999991,0.09999999999999996,4.440892098500626e-16
S04,source,regular-sensitivity,1,0.0,0.5294438569592275,0.5294438569592275,skew_b,tie_ab,asymmetric_a,"[0.052030027507840866,0.15609008252352258,0.7918798899686366]",0.052030027507840866,2.9559342749881394,0.049999999999999996,0.05,4.440892098500626e-16
S04,source,regular-sensitivity,5,1.6094379124341003,2.6816143341546557,2.6816143341546557,skew_b,tie_ab,asymmetric_a,"[0.06075034256234827,0.1822510276870448,0.7569986297506069]",0.06075034256234827,2.8009825578909866,0.049999999999999996,0.05,4.440892098500626e-16
S04,source,regular-sensitivity,20,2.995732273553991,9.888674129278309,9.888674129278309,skew_b,tie_ab,asymmetric_a,"[0.1011524187979224,0.3034572563937672,0.5953903248083104]",0.1011524187979224,2.2911268026743388,0.049999999999999996,0.05,4.440892098500626e-16
S04,source,regular-sensitivity,50,3.912023005428146,20.085123220194472,20.085123220194472,skew_b,tie_ab,asymmetric_a,"[0.18820482785729226,0.5646144835718766,0.24718068857083117]",0.18820482785729226,1.6702243993581198,0.049999999999999996,0.05,4.440892098500626e-16
S05,source,regular-sensitivity,1,0.0,0.44713082550447797,0.44713082550447797,edge,dominant_a,backward_cycle,"[0.001099474530134758,0.10353939993077459,0.8953611255390906]",0.001099474530134758,6.812922913190241,0.10000000000000006,0.0010000000000000015,8.881784197001252e-16
S05,source,regular-sensitivity,5,1.6094379124341003,2.4188501939298366,2.4188501939298366,edge,dominant_a,backward_cycle,"[0.0016026183674648859,0.1235639235150807,0.8748334581174544]",0.0016026183674648859,6.43611650764462,0.10000000000000006,0.0010000000000000015,8.881784197001252e-16
S05,source,regular-sensitivity,20,2.995732273553991,12.731449866302427,12.731449866302427,edge,dominant_a,backward_cycle,"[0.006280546237832112,0.2287379001822831,0.7649815535798847]",0.006280546237832112,5.070298321738103,0.10000000000000006,0.0010000000000000015,8.881784197001252e-16
S05,source,regular-sensitivity,50,3.912023005428146,51.6102896557736,51.6102896557736,edge,dominant_a,backward_cycle,"[0.06583032675958816,0.534964545865689,0.3992051273747229]",0.06583032675958816,2.7206746538265625,0.10000000000000006,0.0010000000000000015,8.881784197001252e-16
S06,source,regular-sensitivity,1,0.0,0.23333333333333334,0.23333333333333334,balanced,neutral,asymmetric_b,"[0.3333333333333333,0.3333333333333333,0.3333333333333333]",0.3333333333333333,1.0986122886681098,0.0,0.3333333333333333,0.0
S06,source,regular-sensitivity,5,1.6094379124341003,1.1666666666666667,1.1666666666666667,balanced,neutral,asymmetric_b,"[0.3333333333333333,0.3333333333333333,0.3333333333333333]",0.3333333333333333,1.0986122886681098,0.0,0.3333333333333333,0.0
S06,source,regular-sensitivity,20,2.995732273553991,4.66666666666667,4.66666666666667,balanced,neutral,asymmetric_b,"[0.3333333333333333,0.3333333333333333,0.3333333333333333]",0.3333333333333333,1.0986122886681098,0.0,0.3333333333333333,0.0
S06,source,regular-sensitivity,50,3.912023005428146,11.66666666666667,11.66666666666667,balanced,neutral,asymmetric_b,"[0.3333333333333333,0.3333333333333333,0.3333333333333333]",0.3333333333333333,1.0986122886681098,0.0,0.3333333333333333,0.0
S07,source,regular-sensitivity,1,0.0,0.3328198199901298,0.3328198199901298,mixed,compressed,uniform_mix,"[0.20190629856921305,0.29835045810238875,0.4997432433283982]",0.20190629856921305,1.5999515576704353,0.01500000000000002,0.2,4.440892098500626e-16
S07,source,regular-sensitivity,5,1.6094379124341003,1.6677192828602525,1.6677192828602525,mixed,compressed,uniform_mix,"[0.2096572845466268,0.29176227014919737,0.49858044530417583]",0.2096572845466268,1.5622810597413517,0.01500000000000002,0.2,4.440892098500626e-16
S07,source,regular-sensitivity,20,2.995732273553991,6.664188435156811,6.664188435156811,mixed,compressed,uniform_mix,"[0.24049710479987804,0.26724695588542524,0.49225593931469674]",0.24049710479987804,1.425047227762927,0.01500000000000002,0.2,4.440892098500626e-16
S07,source,regular-sensitivity,50,3.912023005428146,15.857501875048406,15.857501875048406,mixed,compressed,uniform_mix,"[0.31008939619860426,0.21971378868581581,0.4701968151155799]",0.21971378868581581,1.5154295401326052,0.01500000000000002,0.2,4.440892098500626e-16
S08,source,regular-sensitivity,1,0.0,1.0626488487478591,1.0626488487478591,skew_a,dominant_b,uniform_off_diagonal,"[0.6875496162492863,0.21174252408626185,0.10070785966445171]",0.10070785966445171,2.2955314320109164,0.07500000000000004,0.10000000000000003,4.440892098500626e-16
S08,source,regular-sensitivity,5,1.6094379124341003,4.982192459666486,4.982192459666486,skew_a,dominant_b,uniform_off_diagonal,"[0.6338781837373966,0.26351066150048325,0.10261115476212011]",0.10261115476212011,2.276808631276791,0.07500000000000004,0.10000000000000003,4.440892098500626e-16
S08,source,regular-sensitivity,20,2.995732273553991,12.601610872340792,12.601610872340792,skew_a,dominant_b,uniform_off_diagonal,"[0.3974540363699319,0.5089329745031067,0.0936129891269614]",0.0936129891269614,2.368586132402688,0.07500000000000004,0.10000000000000003,4.440892098500626e-16
S08,source,regular-sensitivity,50,3.912023005428146,27.815712561163913,27.815712561163913,skew_a,dominant_b,uniform_off_diagonal,"[0.07327348797731965,0.8901908544897799,0.036535657532900424]",0.036535657532900424,3.30946657655862,0.07500000000000004,0.10000000000000003,4.440892098500626e-16
S09,source,regular-sensitivity,1,0.0,0.3831445040706417,0.3831445040706417,skew_b,dominant_c,forward_cycle,"[0.047797732395201145,0.13811552706831426,0.8140867405364846]",0.047797732395201145,3.0407770800409506,0.10000000000000002,0.05000000000000007,1.3322676295501878e-15
S09,source,regular-sensitivity,5,1.6094379124341003,1.8193962822118634,1.8193962822118634,skew_b,dominant_c,forward_cycle,"[0.03943762823439088,0.09808482647485058,0.8624775452907585]",0.03943762823439088,3.233034887100803,0.10000000000000002,0.05000000000000007,1.3322676295501878e-15
S09,source,regular-sensitivity,20,2.995732273553991,5.532251707330355,5.532251707330355,skew_b,dominant_c,forward_cycle,"[0.017163673154167565,0.024322635360622857,0.9585136914852096]",0.017163673154167565,4.064960154555286,0.10000000000000002,0.05000000000000007,1.3322676295501878e-15
S09,source,regular-sensitivity,50,3.912023005428146,7.854930208506198,7.854930208506198,skew_b,dominant_c,forward_cycle,"[0.0027350922087224384,0.001258319924959349,0.9960065878663182]",0.001258319924959349,6.6779778406674755,0.10000000000000002,0.05000000000000007,1.3322676295501878e-15
S10,source,regular-sensitivity,1,0.0,0.8801337112910117,0.8801337112910117,edge,tie_bc,asymmetric_b,"[0.0009656386289962564,0.09900340518091029,0.9000309561900934]",0.0009656386289962564,6.942720883806888,0.03500000000000004,0.0010000000000000024,2.6645352591003757e-15
