response,response_transform,model,features,observation_count,landscape_count,in_sample_r_squared,leave_one_landscape_out_r_squared,leave_one_landscape_out_rmse_log_units
C_endpoint_l1,natural-log,horizon-only,log_horizon,96,24,0.6946185931414554,0.6687210805819372,1.0811577075913177
C_endpoint_l1,natural-log,reward-intensity-only,selection_log_factor_spread_per_step,96,24,0.031268771131869655,-0.007061412911007814,1.8850380723274252
C_endpoint_l1,natural-log,boundary-only,clean_boundary_pressure,96,24,0.11303962477135276,0.07072152777314011,1.8107774874798126
C_endpoint_l1,natural-log,mutation-id-only,mutation_id=asymmetric_b+mutation_id=backward_cycle+mutation_id=forward_cycle+mutation_id=uniform_mix+mutation_id=uniform_off_diagonal,96,24,0.10834021936485516,-0.001145856719667826,1.8794934887009014
C_endpoint_l1,natural-log,additive,log_horizon+selection_log_factor_spread_per_step+clean_boundary_pressure+mutation_id=asymmetric_b+mutation_id=backward_cycle+mutation_id=forward_cycle+mutation_id=uniform_mix+mutation_id=uniform_off_diagonal,96,24,0.8511344138838569,0.7695188477168985,0.9017992225645632
C_endpoint_l1,natural-log,additive-plus-interactions,log_horizon+selection_log_factor_spread_per_step+clean_boundary_pressure+mutation_id=asymmetric_b+mutation_id=backward_cycle+mutation_id=forward_cycle+mutation_id=uniform_mix+mutation_id=uniform_off_diagonal+horizon_x_reward+horizon_x_boundary+horizon_x_mutation_id=asymmetric_b+horizon_x_mutation_id=backward_cycle+horizon_x_mutation_id=forward_cycle+horizon_x_mutation_id=uniform_mix+horizon_x_mutation_id=uniform_off_diagonal,96,24,0.8849952446760678,0.7465624628625558,0.94564388398416
C_max_path_l1,natural-log,horizon-only,log_horizon,96,24,0.698957182504516,0.6732171948559722,1.072518951891008
C_max_path_l1,natural-log,reward-intensity-only,selection_log_factor_spread_per_step,96,24,0.030421127321396124,-0.007839682936357395,1.8835237643284883
C_max_path_l1,natural-log,boundary-only,clean_boundary_pressure,96,24,0.11187152379260334,0.06974163504679776,1.8095774214623754
C_max_path_l1,natural-log,mutation-id-only,mutation_id=asymmetric_b+mutation_id=backward_cycle+mutation_id=forward_cycle+mutation_id=uniform_mix+mutation_id=uniform_off_diagonal,96,24,0.1088551748340233,0.0008122249763761191,1.8754216826110455
C_max_path_l1,natural-log,additive,log_horizon+selection_log_factor_spread_per_step+clean_boundary_pressure+mutation_id=asymmetric_b+mutation_id=backward_cycle+mutation_id=forward_cycle+mutation_id=uniform_mix+mutation_id=uniform_off_diagonal,96,24,0.8548006627231438,0.774385299135555,0.8911669547435939
C_max_path_l1,natural-log,additive-plus-interactions,log_horizon+selection_log_factor_spread_per_step+clean_boundary_pressure+mutation_id=asymmetric_b+mutation_id=backward_cycle+mutation_id=forward_cycle+mutation_id=uniform_mix+mutation_id=uniform_off_diagonal+horizon_x_reward+horizon_x_boundary+horizon_x_mutation_id=asymmetric_b+horizon_x_mutation_id=backward_cycle+horizon_x_mutation_id=forward_cycle+horizon_x_mutation_id=uniform_mix+horizon_x_mutation_id=uniform_off_diagonal,96,24,0.8892019982095808,0.7529543155280982,0.9325325778837352
