landscape_id,split,stratum,horizon,region,epsilon_count,kl_residual_sign,kl_quadratic_error_minimum,kl_quadratic_error_median,kl_quadratic_error_maximum,stable_cubic_count,kl_cubic_scale_minimum,kl_cubic_scale_median,kl_cubic_scale_maximum
S01,source,regular-sensitivity,1,confirmatory,3,negative,-1.3532519057567186e-05,-4.061359620181582e-06,-1.349269747994107e-06,3,-0.013537865400605276,-0.013532519057567185,-0.013492697479941067
S01,source,regular-sensitivity,1,extended-local,2,negative,-0.0001343478202822559,-8.744004417678559e-05,-4.053226807131526e-05,2,-0.013510756023771754,-0.013472769025998671,-0.013434782028225588
S01,source,regular-sensitivity,1,stress,2,negative,-0.0012490916636087761,-0.0008228436002845573,-0.0003965955369603383,2,-0.013219851232011278,-0.01285538393404952,-0.01249091663608776
S01,source,regular-sensitivity,5,confirmatory,3,negative,-0.014207761122206841,-0.004274005945815389,-0.0014257799099754971,3,-14.257799099754967,-14.246686486051297,-14.20776112220684
S01,source,regular-sensitivity,5,extended-local,2,negative,-0.13721359000272582,-0.0897529514430141,-0.04229231288330235,2,-14.09743762776745,-13.909398314020017,-13.721359000272582
S01,source,regular-sensitivity,5,stress,2,negative,-0.9969826598669034,-0.6893846913106809,-0.38178672275445835,2,-12.72622409181528,-11.348025345242156,-9.969826598669034
S01,source,regular-sensitivity,20,confirmatory,3,positive,0.006444591184066494,0.019304980187577342,0.0640052787099642,3,64.00527870996419,64.34993395859114,64.44591184066493
S01,source,regular-sensitivity,20,extended-local,2,positive,0.18886110050514807,0.38787025271083714,0.5868794049165262,2,58.68794049165262,60.82082033001765,62.95370016838269
S01,source,regular-sensitivity,20,stress,2,positive,1.224941424250818,1.284319937831335,1.343698451411852,2,12.24941424250818,28.519681311451624,44.78994838039507
S01,source,regular-sensitivity,50,confirmatory,3,negative,-100.95842388272531,-33.413185994293066,-11.487783763275004,3,-114877.83763275003,-111377.28664764357,-100958.4238827253
S01,source,regular-sensitivity,50,extended-local,2,negative,-503.20638230114844,-372.9417181982302,-242.67705409531192,2,-80892.35136510397,-65606.4947976094,-50320.63823011483
S01,source,regular-sensitivity,50,stress,2,negative,-1007.9320938303097,-895.047702317984,-782.1633108056582,2,-26072.11036018861,-18075.715649245853,-10079.320938303095
S02,source,regular-sensitivity,1,confirmatory,3,numerical-zero,1.9569534407809263e-10,3.614051052930736e-10,2.3257068619106916e-09,2,1.956953440780926e-07,7.001895141941689e-07,1.2046836843102453e-06
S02,source,regular-sensitivity,1,extended-local,2,numerical-zero,6.341940423514523e-10,1.3756036036208903e-09,2.117013164890328e-09,2,2.113980141171508e-07,2.115496653030918e-07,2.1170131648903278e-07
S02,source,regular-sensitivity,1,stress,2,positive,6.3533080765199395e-09,1.3779034176189232e-08,2.1204760275858524e-08,2,2.1177693588399803e-07,2.1191226932129164e-07,2.1204760275858522e-07
S02,source,regular-sensitivity,5,confirmatory,3,negative,-2.0278181043136806e-05,-6.082641882264507e-06,-2.0074676842779686e-06,3,-0.020278181043136806,-0.02027547294088169,-0.020074676842779682
S02,source,regular-sensitivity,5,extended-local,2,negative,-0.0002017703301358074,-0.000131268806272299,-6.076728240879066e-05,2,-0.02025576080293022,-0.02021639690825548,-0.020177033013580738
S02,source,regular-sensitivity,5,stress,2,negative,-0.0019208363935179023,-0.0012597412050872464,-0.0005986460166565906,2,-0.019954867221886354,-0.01958161557853269,-0.019208363935179024
S02,source,regular-sensitivity,20,confirmatory,3,negative,-0.018757091311981743,-0.005642681147455418,-0.0018823762418228546,3,-18.823762418228544,-18.808937158184726,-18.757091311981743
