split,horizon,epsilon,region,landscape_count,endpoint_relative_residual_median,endpoint_relative_residual_q10,endpoint_relative_residual_q90,endpoint_relative_residual_positive_fraction,endpoint_quadratic_scale_median,endpoint_quadratic_scale_q10,endpoint_quadratic_scale_q90,max_path_relative_residual_median,max_path_relative_residual_q10,max_path_relative_residual_q90,max_path_relative_residual_positive_fraction,max_path_quadratic_scale_median,max_path_quadratic_scale_q10,max_path_quadratic_scale_q90
source,1,0.0001,confirmatory,12,3.7675678314392257e-13,-1.0960940342892386e-12,1.7374129295279516e-12,0.6666666666666666,2.6684925970299478e-09,-4.147750936114858e-09,4.1684757147518025e-09,3.7675678314392257e-13,-1.0960940342892386e-12,1.7374129295279516e-12,0.6666666666666666,2.6684925970299478e-09,-4.147750936114858e-09,4.1684757147518025e-09
source,1,0.0003,confirmatory,12,-7.453367025911682e-14,-8.256504450323989e-12,9.321388714254873e-13,0.5,-7.152722665702982e-11,-5.373153500907655e-10,6.753073698234019e-10,-7.453367025911682e-14,-8.256504450323989e-12,9.321388714254873e-13,0.5,-7.152722665702982e-11,-5.373153500907655e-10,6.753073698234019e-10
source,1,0.001,confirmatory,12,3.139197673178464e-14,-6.402505369119659e-14,1.6315796549500683e-13,0.5833333333333334,2.2307459698889254e-11,-3.8246248073962874e-11,3.1474389067254194e-11,3.139197673178464e-14,-6.402505369119659e-14,1.6315796549500683e-13,0.5833333333333334,2.2307459698889254e-11,-3.8246248073962874e-11,3.1474389067254194e-11
source,1,0.003,extended-local,12,4.798628392003828e-15,-5.402530719654926e-14,4.6456460458167806e-14,0.5833333333333334,1.4335562058419447e-12,-5.483653654615573e-12,4.8565481063772564e-12,4.798628392003828e-15,-5.402530719654926e-14,4.6456460458167806e-14,0.5833333333333334,1.4335562058419447e-12,-5.483653654615573e-12,4.8565481063772564e-12
source,1,0.01,extended-local,12,6.925041303320609e-15,-3.947727731796901e-15,1.913260537091416e-13,0.5833333333333334,2.2334564753201391e-13,-2.0556473190325164e-13,7.680759240430435e-13,6.925041303320609e-15,-3.947727731796901e-15,1.913260537091416e-13,0.5833333333333334,2.2334564753201391e-13,-2.0556473190325164e-13,7.680759240430435e-13
source,1,0.03,stress,12,9.509712240096778e-16,-6.375444693439481e-15,6.141637639475866e-15,0.5833333333333334,1.1082955540962934e-14,-4.8765004380236914e-14,8.056826810647839e-14,9.509712240096778e-16,-6.375444693439481e-15,6.141637639475866e-15,0.5833333333333334,1.1082955540962934e-14,-4.8765004380236914e-14,8.056826810647839e-14
source,1,0.1,stress,12,-2.593738092283789e-16,-7.34637652084528e-16,2.1523516989697516e-15,0.3333333333333333,-1.040834085586084e-15,-3.400058012914541e-15,4.1286418728248e-15,-2.593738092283789e-16,-7.34637652084528e-16,2.1523516989697516e-15,0.3333333333333333,-1.040834085586084e-15,-3.400058012914541e-15,4.1286418728248e-15
source,5,0.0001,confirmatory,12,-0.00011804713704616259,-0.00031530399755670707,-5.0742139669637465e-05,0.0,-2.4650193863632266,-7.12863820623473,-0.19463481923800752,-0.00011804713704616259,-0.00031530399755670707,-5.0742139669637465e-05,0.0,-2.4650193863632266,-7.12863820623473,-0.19463481923800752
source,5,0.0003,confirmatory,12,-0.000354099338161842,-0.0009455931198914791,-0.00015222106484888412,0.0,-2.464768679294099,-7.127157945259449,-0.19462116401620805,-0.000354099338161842,-0.0009455931198914791,-0.00015222106484888412,0.0,-2.464768679294099,-7.127157945259449,-0.19462116401620805
source,5,0.001,confirmatory,12,-0.0011798404394470726,-0.0031482603803456456,-0.0005073406925983635,0.0,-2.4638914829927527,-7.121979607360783,-0.19457328414893088,-0.0011798404394470726,-0.0031482603803456456,-0.0005073406925983635,0.0,-2.4638914829927527,-7.121979607360783,-0.19457328414893088
source,5,0.003,extended-local,12,-0.003535319236704663,-0.009413013657854265,-0.0015214832406474255,0.0,-2.461387711681861,-7.1072059543626445,-0.19443657492754676,-0.003535319236704663,-0.009413013657854265,-0.0015214832406474255,0.0,-2.461387711681861,-7.1072059543626445,-0.19443657492754676
source,5,0.01,extended-local,12,-0.011735521636039086,-0.03100955651185285,-0.005065321219203173,0.0,-2.452653615828328,-7.05574937244299,-0.1939591341221108,-0.011735521636039086,-0.03100955651185285,-0.005065321219203173,0.0,-2.452653615828328,-7.05574937244299,-0.1939591341221108
source,5,0.03,stress,12,-0.03479142000718499,-0.08996861684687933,-0.015141973248042399,0.0,-2.4218710157674987,-6.910865709031603,-0.19260387111117228,-0.03479142000718499,-0.08996861684687933,-0.015141973248042399,0.0,-2.4218710157674987,-6.910865709031603,-0.19260387111117228
source,5,0.1,stress,12,-0.11127205969930101,-0.26732727706746157,-0.04984044432111133,0.0,-2.300938948315252,-6.428009067288357,-0.1879610493052842,-0.11127205969930101,-0.26732727706746157,-0.04984044432111133,0.0,-2.300938948315252,-6.428009067288357,-0.1879610493052842
source,20,0.0001,confirmatory,12,-0.000521902918987216,-0.0009708780871668411,-1.968330683244084e-05,0.08333333333333333,-44.99996865144182,-126.4502522695392,-0.47334749018185746,-0.000536884061443379,-0.0009708780871668411,-0.00019667522514063844,0.0,-44.99996865144182,-126.4502522695392,-4.715424600325573
source,20,0.0003,confirmatory,12,-0.001564753573148388,-0.0029090455611712487,-5.968181764898404e-05,0.08333333333333333,-44.950552900736156,-126.31612085604642,-0.4748978885741399,-0.0016094710577555,-0.0029090455611712487,-0.000589945101312016,0.0,-44.950552900736156,-126.31612085604642,-4.714937219772268
source,20,0.001,confirmatory,12,-0.005204716350381093,-0.009655117738190232,-0.0002062806689193806,0.08333333333333333,-44.77824886702648,-125.84813034629792,-0.4803008564957702,-0.005351159372020184,-0.009655117738190232,-0.0019655429005285127,0.0,-44.77824886702648,-125.84813034629792,-4.713228119420775
source,20,0.003,extended-local,12,-0.015519144530034288,-0.028612178349661545,-0.0006809813608926287,0.08333333333333333,-44.29147728086098,-124.52353348737542,-0.4955390338792056,-0.01593658106668004,-0.028612178349661545,-0.005888547676966962,0.0,-44.29147728086098,-124.52353348737542,-4.708317471455218
source,20,0.01,extended-local,12,-0.05063741502484341,-0.09141375666088868,-0.002965252728553188,0.08333333333333333,-42.650154362083335,-120.03057927941192,-0.5466218426339868,-0.05179267216701841,-0.09141375666088868,-0.01844961271431111,0.0,-42.650154362083335,-120.03057927941192,-4.690815106700989
source,20,0.03,stress,12,-0.14295379931426905,-0.24402947300359334,-0.013136813195887293,0.08333333333333333,-38.446246224942485,-108.34649284776044,-0.6749140966051632,-0.14295379931426905,-0.24402947300359334,-0.044111961472920534,0.08333333333333333,-38.446246224942485,-108.34649284776044,-3.2556198689789255
source,20,0.1,stress,12,-0.34044805298953357,-0.5675550437262307,0.01871285831809915,0.16666666666666666,-25.842425058489606,-78.2520946219687,-0.19254378851419007,-0.34044805298953357,-0.5675550437262307,-0.13727169054348776,0.08333333333333333,-25.842425058489606,-78.2520946219687,-2.201877246702423
source,50,0.0001,confirmatory,12,-0.0013644672517995843,-0.0026539143847183135,-0.00022116754692685326,0.0,-283.9790407558121,-729.4092210868808,-16.052639821793324,-0.0013644672517995843,-0.0026539143847183135,-0.00022116754692685326,0.0,-283.9790407558121,-729.4092210868808,-16.052639821793324
source,50,0.0003,confirmatory,12,-0.004086035691544546,-0.00793355126381658,-0.0006636719554321812,0.0,-283.6502915551732,-727.6205612712373,-16.056748753465403,-0.004086035691544546,-0.00793355126381658,-0.0006636719554321812,0.0,-283.6502915551732,-727.6205612712373,-16.056748753465403
source,50,0.001,confirmatory,12,-0.013534762965277978,-0.02612037394521244,-0.002214201640776219,0.0,-282.50342200203914,-721.400809347067,-16.071031853183598,-0.013534762965277978,-0.02612037394521244,-0.002214201640776219,0.0,-282.50342200203914,-721.400809347067,-16.071031853183598
source,50,0.003,extended-local,12,-0.03988715415385398,-0.0756790961431316,-0.006659073001183027,0.0,-279.25634510547593,-703.9759457286214,-16.111001973976826,-0.03988715415385398,-0.0756790961431316,-0.006659073001183027,0.0,-279.25634510547593,-703.9759457286214,-16.111001973976826
source,50,0.01,extended-local,12,-0.12510228646671034,-0.22450886775791462,-0.02237565565490054,0.0,-268.1636140795365,-646.9360837489954,-16.241198306591805,-0.12510228646671034,-0.22450886775791462,-0.02237565565490054,0.0,-268.1636140795365,-646.9360837489954,-16.241198306591805
source,50,0.03,stress,12,-0.2879705775724264,-0.48842077537804407,-0.06832396740952966,0.0,-221.96261252107394,-514.6284969436259,-16.532167430365146,-0.2879705775724264,-0.48842077537804407,-0.06832396740952966,0.0,-221.96261252107394,-514.6284969436259,-16.532167430365146
source,50,0.1,stress,12,-0.6180162712462518,-0.8136341646739395,-0.23003098887931814,0.0,-129.18402233496556,-276.128963575833,-16.701790045696598,-0.6180162712462518,-0.7872908222291221,-0.23003098887931814,0.0,-128.23756732032444,-276.128963575833,-16.701790045696598
target,1,0.0001,confirmatory,12,4.754536921512757e-14,-2.2625531603633974e-12,2.5753383488609005e-12,0.5,6.139294801699169e-10,-4.99512269654806e-09,3.947620344084716e-09,4.754536921512757e-14,-2.2625531603633974e-12,2.5753383488609005e-12,0.5,6.139294801699169e-10,-4.99512269654806e-09,3.947620344084716e-09
target,1,0.0003,confirmatory,12,-1.3444868817495933e-13,-1.459331875016924e-12,6.211667768333222e-14,0.25,-1.4998130052716146e-10,-5.667243340194347e-10,1.6672620074665983e-10,-1.3444868817495933e-13,-1.459331875016924e-12,6.211667768333222e-14,0.25,-1.4998130052716146e-10,-5.667243340194347e-10,1.6672620074665983e-10
