landscape_id,split,stratum,horizon,region,epsilon_count,epsilon_minimum,epsilon_maximum,endpoint_residual_sign,endpoint_quadratic_scale_minimum,endpoint_quadratic_scale_median,endpoint_quadratic_scale_maximum,endpoint_quadratic_scale_relative_range,endpoint_relative_residual_median,max_path_residual_sign,max_path_quadratic_scale_minimum,max_path_quadratic_scale_median,max_path_quadratic_scale_maximum,max_path_quadratic_scale_relative_range,max_path_relative_residual_median
S01,source,regular-sensitivity,1,confirmatory,3,0.0001,0.001,numerical-zero,-3.348829460264602e-09,-4.993353338836018e-10,2.596664203102783e-11,6.758576598311217,-3.349026337004872e-13,numerical-zero,-3.348829460264602e-09,-4.993353338836018e-10,2.596664203102783e-11,6.758576598311217,-3.349026337004872e-13
S01,source,regular-sensitivity,1,extended-local,2,0.003,0.01,numerical-zero,-1.8214596497756474e-13,1.1497361704668504e-12,2.4816183059112656e-12,1.3318821354444152,6.285989119878868e-15,numerical-zero,-1.8214596497756474e-13,1.1497361704668504e-12,2.4816183059112656e-12,1.3318821354444152,6.285989119878868e-15
S01,source,regular-sensitivity,1,stress,2,0.03,0.1,numerical-zero,-5.782411586589357e-14,-2.960594732333751e-14,-1.3877787807814455e-15,0.028218168542556064,-2.0942524162886923e-15,numerical-zero,-5.782411586589357e-14,-2.960594732333751e-14,-1.3877787807814455e-15,0.028218168542556064,-2.0942524162886923e-15
S01,source,regular-sensitivity,5,confirmatory,3,0.0001,0.001,negative,-6.1334443718526455,-6.131271183051786,-6.12367217528594,0.0015938287958486615,-0.0010783452884245476,negative,-6.1334443718526455,-6.131271183051786,-6.12367217528594,0.0015938287958486615,-0.0010783452884245476
S01,source,regular-sensitivity,5,extended-local,2,0.003,0.01,negative,-6.102021758140638,-6.064486820368211,-6.0269518825957835,0.012378603131385238,-0.023032638303475184,negative,-6.102021758140638,-6.064486820368211,-6.0269518825957835,0.012378603131385238,-0.023032638303475184
S01,source,regular-sensitivity,5,stress,2,0.03,0.1,negative,-5.818387642118786,-5.485508782864061,-5.152629923609336,0.12136663067411022,-0.20220340527190367,negative,-5.818387642118786,-5.485508782864061,-5.152629923609336,0.12136663067411022,-0.20220340527190367
S01,source,regular-sensitivity,20,confirmatory,3,0.0001,0.001,positive,31.34462869498235,31.74426133104817,31.859445833533254,0.016217644291107662,0.005886255533342471,negative,-14.662454281646509,-14.651409162259272,-14.612841310472028,0.003386225217317639,-0.0021513366169121995
S01,source,regular-sensitivity,20,extended-local,2,0.003,0.01,positive,26.65759702912971,28.444924652501477,30.232252275873243,0.1256693519288044,0.1104135823157006,negative,-14.503414053919823,-14.316296022589812,-14.129177991259802,0.02614056471516868,-0.045225610788811856
S01,source,regular-sensitivity,20,stress,2,0.03,0.1,positive,5.0158129600266514,11.83802334518313,18.66023373033961,1.152592825039904,0.3280174399252458,positive,0.76352746919702,2.624738115052259,4.485948760907498,1.4182067423653673,0.05162006718405611
S01,source,regular-sensitivity,50,confirmatory,3,0.0001,0.001,negative,-188.21352661059672,-188.21059542193785,-188.19143156362586,0.00011739534068912347,-0.0026032600805204775,negative,-188.21352661059672,-188.21059542193785,-188.19143156362586,0.00011739534068912347,-0.0026032600805204775
S01,source,regular-sensitivity,50,extended-local,2,0.003,0.01,negative,-188.0617405886415,-187.42552741889796,-186.78931424915444,0.006788970302018513,-0.056066029865598,negative,-188.0617405886415,-187.42552741889796,-186.78931424915444,0.006788970302018513,-0.056066029865598
S01,source,regular-sensitivity,50,stress,2,0.03,0.1,negative,-177.64510520303824,-152.91064710647015,-128.17618900990203,0.3235151843853718,-0.41833712773195275,negative,-177.64510520303824,-152.91064710647015,-128.17618900990203,0.3235151843853718,-0.41833712773195275
S02,source,regular-sensitivity,1,confirmatory,3,0.0001,0.001,numerical-zero,-7.039923758690985e-09,-4.96267192319103e-10,7.316331785203745e-11,14.333180163095008,-1.1863897638763966e-11,numerical-zero,-7.039923758690985e-09,-4.96267192319103e-10,7.316331785203745e-11,14.333180163095008,-1.1863897638763966e-11
S02,source,regular-sensitivity,1,extended-local,2,0.003,0.01,numerical-zero,-2.8385015210210775e-13,1.8563950531112913e-13,6.551291627243661e-13,0.46948965741323695,2.2709925508558313e-13,numerical-zero,-2.8385015210210775e-13,1.8563950531112913e-13,6.551291627243661e-13,0.46948965741323695,2.2709925508558313e-13
S02,source,regular-sensitivity,1,stress,2,0.03,0.1,numerical-zero,4.423544863740857e-15,4.970585093213822e-14,9.498815700053558e-14,0.045282306068397365,1.3116570434014907e-13,numerical-zero,4.423544863740857e-15,4.970585093213822e-14,9.498815700053558e-14,0.045282306068397365,1.3116570434014907e-13
S02,source,regular-sensitivity,5,confirmatory,3,0.0001,0.001,negative,-0.08583745419234742,-0.085835042904053,-0.08582660636003077,0.00012637999527512567,-0.00013297187599043764,negative,-0.08583745419234742,-0.085835042904053,-0.08582660636003077,0.00012637999527512567,-0.00013297187599043764
S02,source,regular-sensitivity,5,extended-local,2,0.003,0.01,negative,-0.08580249041550718,-0.085760250284049,-0.08571801015259083,0.0009850748177220067,-0.00287778346878767,negative,-0.08580249041550718,-0.085760250284049,-0.08571801015259083,0.0009850748177220067,-0.00287778346878767
S02,source,regular-sensitivity,5,stress,2,0.03,0.1,negative,-0.08547600372465912,-0.0850488804652671,-0.08462175720587507,0.010044182993483496,-0.02846950126553012,negative,-0.08547600372465912,-0.0850488804652671,-0.08462175720587507,0.010044182993483496,-0.02846950126553012
S02,source,regular-sensitivity,20,confirmatory,3,0.0001,0.001,negative,-4.6112201988876205,-4.610756253546179,-4.609129126047131,0.00045352057786203633,-0.0005416476997289279,negative,-4.6112201988876205,-4.610756253546179,-4.609129126047131,0.00045352057786203633,-0.0005416476997289279
S02,source,regular-sensitivity,20,extended-local,2,0.003,0.01,negative,-4.604452093303736,-4.596106355621286,-4.5877606179388355,0.00363165559571648,-0.01168697379662282,negative,-4.604452093303736,-4.596106355621286,-4.5877606179388355,0.00363165559571648,-0.01168697379662282
