landscape_id,split,stratum,horizon,epsilon,region,p0_id,reward_id,mutation_id,clean_terminal,clean_boundary_min_probability,clean_boundary_pressure,C_endpoint_l1,endpoint_l1,endpoint_prediction,endpoint_residual,endpoint_residual_over_epsilon_squared,endpoint_relative_residual,C_max_path_l1,max_path_l1,max_path_prediction,max_path_residual,max_path_residual_over_epsilon_squared,max_path_relative_residual
S01,source,regular-sensitivity,1,0.0001,confirmatory,mixed,dominant_a,uniform_off_diagonal,"[0.21326792289706445,0.3043000853427558,0.48243199176017965]",0.21326792289706445,1.5452060497314315,0.447295975280539,4.4729597528020415e-05,4.47295975280539e-05,-3.348829460264602e-17,-3.348829460264602e-09,-7.486831193069093e-13,0.447295975280539,4.4729597528020415e-05,4.47295975280539e-05,-3.348829460264602e-17,-3.348829460264602e-09,-7.486831193069093e-13
S01,source,regular-sensitivity,1,0.0003,confirmatory,mixed,dominant_a,uniform_off_diagonal,"[0.21326792289706445,0.3043000853427558,0.48243199176017965]",0.21326792289706445,1.5452060497314315,0.447295975280539,0.00013418879258411676,0.0001341887925841617,-4.494018004952416e-17,-4.993353338836018e-10,-3.349026337004872e-13,0.447295975280539,0.00013418879258411676,0.0001341887925841617,-4.494018004952416e-17,-4.993353338836018e-10,-3.349026337004872e-13
S01,source,regular-sensitivity,1,0.001,confirmatory,mixed,dominant_a,uniform_off_diagonal,"[0.21326792289706445,0.3043000853427558,0.48243199176017965]",0.21326792289706445,1.5452060497314315,0.447295975280539,0.00044729597528056497,0.000447295975280539,2.596664203102783e-17,2.596664203102783e-11,5.805248306726177e-14,0.447295975280539,0.00044729597528056497,0.000447295975280539,2.596664203102783e-17,2.596664203102783e-11,5.805248306726177e-14
S01,source,regular-sensitivity,1,0.003,extended-local,mixed,dominant_a,uniform_off_diagonal,"[0.21326792289706445,0.3043000853427558,0.48243199176017965]",0.21326792289706445,1.5452060497314315,0.447295975280539,0.0013418879258416394,0.001341887925841617,2.233456475320139e-17,2.4816183059112656e-12,1.6644135715874635e-14,0.447295975280539,0.0013418879258416394,0.001341887925841617,2.233456475320139e-17,2.4816183059112656e-12,1.6644135715874635e-14
S01,source,regular-sensitivity,1,0.01,extended-local,mixed,dominant_a,uniform_off_diagonal,"[0.21326792289706445,0.3043000853427558,0.48243199176017965]",0.21326792289706445,1.5452060497314315,0.447295975280539,0.004472959752805372,0.00447295975280539,-1.8214596497756474e-17,-1.8214596497756474e-13,-4.072157476116901e-15,0.447295975280539,0.004472959752805372,0.00447295975280539,-1.8214596497756474e-17,-1.8214596497756474e-13,-4.072157476116901e-15
S01,source,regular-sensitivity,1,0.03,stress,mixed,dominant_a,uniform_off_diagonal,"[0.21326792289706445,0.3043000853427558,0.48243199176017965]",0.21326792289706445,1.5452060497314315,0.447295975280539,0.013418879258416117,0.013418879258416169,-5.204170427930421e-17,-5.782411586589357e-14,-3.87824521534943e-15,0.447295975280539,0.013418879258416117,0.013418879258416169,-5.204170427930421e-17,-5.782411586589357e-14,-3.87824521534943e-15
S01,source,regular-sensitivity,1,0.1,stress,mixed,dominant_a,uniform_off_diagonal,"[0.21326792289706445,0.3043000853427558,0.48243199176017965]",0.21326792289706445,1.5452060497314315,0.447295975280539,0.04472959752805389,0.0447295975280539,-1.3877787807814457e-17,-1.3877787807814455e-15,-3.1025961722795437e-16,0.447295975280539,0.04472959752805389,0.0447295975280539,-1.3877787807814457e-17,-1.3877787807814455e-15,-3.1025961722795437e-16
S01,source,regular-sensitivity,5,0.0001,confirmatory,mixed,dominant_a,uniform_off_diagonal,"[0.2714051970286356,0.3170558699633255,0.41153893300803884]",0.2714051970286356,1.3041423828014223,1.7057443238824315,0.00017051309794452463,0.00017057443238824315,-6.133444371852646e-08,-6.1334443718526455,-0.000359575833609832,1.7057443238824315,0.00017051309794452463,0.00017057443238824315,-6.133444371852646e-08,-6.1334443718526455,-0.000359575833609832
S01,source,regular-sensitivity,5,0.0003,confirmatory,mixed,dominant_a,uniform_off_diagonal,"[0.2714051970286356,0.3170558699633255,0.41153893300803884]",0.2714051970286356,1.3041423828014223,1.7057443238824315,0.0005111714827582547,0.0005117232971647294,-5.518144064746607e-07,-6.131271183051786,-0.0010783452884245476,1.7057443238824315,0.0005111714827582547,0.0005117232971647294,-5.518144064746607e-07,-6.131271183051786,-0.0010783452884245476
S01,source,regular-sensitivity,5,0.001,confirmatory,mixed,dominant_a,uniform_off_diagonal,"[0.2714051970286356,0.3170558699633255,0.41153893300803884]",0.2714051970286356,1.3041423828014223,1.7057443238824315,0.0016996206517071455,0.0017057443238824314,-6.12367217528594e-06,-6.12367217528594,-0.0035900293435231242,1.7057443238824315,0.0016996206517071455,0.0017057443238824314,-6.12367217528594e-06,-6.12367217528594,-0.0035900293435231242
