horizon,epsilon,region,source_landscape_count,target_landscape_count,source_endpoint_relative_residual_median,target_endpoint_relative_residual_median,target_minus_source_endpoint_relative_residual_median,target_over_source_endpoint_relative_residual_median,source_endpoint_quadratic_scale_median,target_endpoint_quadratic_scale_median,target_minus_source_endpoint_quadratic_scale_median,target_over_source_endpoint_quadratic_scale_median,source_max_path_relative_residual_median,target_max_path_relative_residual_median,target_minus_source_max_path_relative_residual_median,target_over_source_max_path_relative_residual_median,source_max_path_quadratic_scale_median,target_max_path_quadratic_scale_median,target_minus_source_max_path_quadratic_scale_median,target_over_source_max_path_quadratic_scale_median
1,0.0001,confirmatory,12,12,3.7675678314392257e-13,4.754536921512757e-14,-3.29211413928795e-13,,2.6684925970299478e-09,6.139294801699169e-10,-2.054563116860031e-09,0.23006602336211274,3.7675678314392257e-13,4.754536921512757e-14,-3.29211413928795e-13,,2.6684925970299478e-09,6.139294801699169e-10,-2.054563116860031e-09,0.23006602336211274
1,0.0003,confirmatory,12,12,-7.453367025911682e-14,-1.3444868817495933e-13,-5.991501791584251e-14,,-7.152722665702982e-11,-1.4998130052716146e-10,-7.845407387013165e-11,2.096842105263158,-7.453367025911682e-14,-1.3444868817495933e-13,-5.991501791584251e-14,,-7.152722665702982e-11,-1.4998130052716146e-10,-7.845407387013165e-11,2.096842105263158
1,0.001,confirmatory,12,12,3.139197673178464e-14,1.476478766900835e-14,-1.6627189062776288e-14,,2.2307459698889254e-11,1.3823577699190182e-11,-8.483881999699072e-12,0.6196840826245443,3.139197673178464e-14,1.476478766900835e-14,-1.6627189062776288e-14,,2.2307459698889254e-11,1.3823577699190182e-11,-8.483881999699072e-12,0.6196840826245443
1,0.003,extended-local,12,12,4.798628392003828e-15,-3.8928557123810424e-16,-5.187913963241932e-15,,1.4335562058419447e-12,-9.637352644315595e-14,-1.5299297322851006e-12,,4.798628392003828e-15,-3.8928557123810424e-16,-5.187913963241932e-15,,1.4335562058419447e-12,-9.637352644315595e-14,-1.5299297322851006e-12,
1,0.01,extended-local,12,12,6.925041303320609e-15,2.302931114407382e-15,-4.622110188913227e-15,,2.2334564753201391e-13,1.111307226797642e-13,-1.1221492485224971e-13,,6.925041303320609e-15,2.302931114407382e-15,-4.622110188913227e-15,,2.2334564753201391e-13,1.111307226797642e-13,-1.1221492485224971e-13,
1,0.03,stress,12,12,9.509712240096778e-16,1.2897945411252477e-15,3.3882331711557e-16,,1.1082955540962934e-14,1.2528558437610274e-14,1.4456028966473403e-15,,9.509712240096778e-16,1.2897945411252477e-15,3.3882331711557e-16,,1.1082955540962934e-14,1.2528558437610274e-14,1.4456028966473403e-15,
1,0.1,stress,12,12,-2.593738092283789e-16,-4.0665548808529743e-16,-1.4728167885691855e-16,,-1.040834085586084e-15,-3.5128150388530336e-15,-2.4719809532669493e-15,,-2.593738092283789e-16,-4.0665548808529743e-16,-1.4728167885691855e-16,,-1.040834085586084e-15,-3.5128150388530336e-15,-2.4719809532669493e-15,
5,0.0001,confirmatory,12,12,-0.00011804713704616259,-0.0001039649203222164,1.4082216723946194e-05,0.8807068339282188,-2.4650193863632266,-1.928702623675007,0.5363167626882195,0.7824289879198573,-0.00011804713704616259,-0.0001039649203222164,1.4082216723946194e-05,0.8807068339282188,-2.4650193863632266,-1.928702623675007,0.5363167626882195,0.7824289879198573
5,0.0003,confirmatory,12,12,-0.000354099338161842,-0.00031186222144243713,4.223711671940485e-05,0.8807195829886012,-2.464768679294099,-1.9285418455548005,0.5362268337392986,0.7824433431648149,-0.000354099338161842,-0.00031186222144243713,4.223711671940485e-05,0.8807195829886012,-2.464768679294099,-1.9285418455548005,0.5362268337392986,0.7824433431648149
5,0.001,confirmatory,12,12,-0.0011798404394470726,-0.001039161201923361,0.00014067923752371153,0.8807641840199678,-2.4638914829927527,-1.9279791851368198,0.535912297855933,0.7824935466699248,-0.0011798404394470726,-0.001039161201923361,0.00014067923752371153,0.8807641840199678,-2.4638914829927527,-1.9279791851368198,0.535912297855933,0.7824935466699248
5,0.003,extended-local,12,12,-0.003535319236704663,-0.0031142325721449605,0.0004210866645597026,0.8808914736219959,-2.461387711681861,-1.926372201175447,0.5350155105064143,0.7826366370616032,-0.003535319236704663,-0.0031142325721449605,0.0004210866645597026,0.8808914736219959,-2.461387711681861,-1.926372201175447,0.5350155105064143,0.7826366370616032
5,0.01,extended-local,12,12,-0.011735521636039086,-0.01034292947978508,0.001392592156254006,0.8813352998321405,-2.452653615828328,-1.920754980732648,0.53189863509568,0.7831334063387327,-0.011735521636039086,-0.01034292947978508,0.001392592156254006,0.8813352998321405,-2.452653615828328,-1.920754980732648,0.53189863509568,0.7831334063387327
5,0.03,stress,12,12,-0.03479142000718499,-0.030706525846989484,0.004084894160195508,0.8825890360510749,-2.4218710157674987,-1.9047679495540013,0.5171030662134974,0.7864861246338398,-0.03479142000718499,-0.030706525846989484,0.004084894160195508,0.8825890360510749,-2.4218710157674987,-1.9047679495540013,0.5171030662134974,0.7864861246338398
5,0.1,stress,12,12,-0.11127205969930101,-0.09867768338322136,0.012594376316079653,0.8868145664768461,-2.300938948315252,-1.849548687439185,0.45139026087606693,0.8038234516363092,-0.11127205969930101,-0.09867768338322136,0.012594376316079653,0.8868145664768461,-2.300938948315252,-1.849548687439185,0.45139026087606693,0.8038234516363092
20,0.0001,confirmatory,12,12,-0.000521902918987216,-0.00042843485953808675,9.346805944912919e-05,0.8209091077120059,-44.99996865144182,-28.077582359744028,16.92238629169779,0.6239467093238611,-0.000536884061443379,-0.00042843485953808675,0.00010844920190529223,0.7980025676051299,-44.99996865144182,-28.077582359744028,16.92238629169779,0.6239467093238611
20,0.0003,confirmatory,12,12,-0.001564753573148388,-0.0012846682297830356,0.00028008534336535244,0.8210035444739058,-44.950552900736156,-28.062989526441978,16.887563374294178,0.6243079943513307,-0.0016094710577555,-0.0012846682297830356,0.00032480282797246436,0.798192812224023,-44.950552900736156,-28.062989526441978,16.887563374294178,0.6243079943513307
20,0.001,confirmatory,12,12,-0.005204716350381093,-0.004274815397093183,0.0009299009532879095,0.82133494110206,-44.77824886702648,-28.0120036610927,16.766245205933778,0.6255716641416051,-0.005351159372020184,-0.004274815397093183,0.0010763439749270007,0.7988577988248823,-44.77824886702648,-28.0120036610927,16.766245205933778,0.6255716641416051
20,0.003,extended-local,12,12,-0.015519144530034288,-0.012761222136246971,0.0027579223937873164,0.8222890193174054,-44.29147728086098,-27.86708845562322,16.42438882523776,0.6291749602053804,-0.01593658106668004,-0.012761222136246971,0.0031753589304330705,0.8007503041494852,-44.29147728086098,-27.86708845562322,16.42438882523776,0.6291749602053804
20,0.01,extended-local,12,12,-0.05063741502484341,-0.04181154921599475,0.008825865808848657,0.8257046532782417,-42.650154362083335,-27.368572900323407,15.281581461759927,0.641699269549526,-0.05179267216701841,-0.04181154921599475,0.009981122951023658,0.8072869667964412,-42.650154362083335,-27.368572900323407,15.281581461759927,0.641699269549526
20,0.03,stress,12,12,-0.14295379931426905,-0.1195002809692636,0.023453518345005447,0.8359363762452697,-38.446246224942485,-26.01478668642809,12.431459538514396,0.6766534900239668,-0.14295379931426905,-0.1195002809692636,0.023453518345005447,0.8359363762452697,-38.446246224942485,-26.01478668642809,12.431459538514396,0.6766534900239668
20,0.1,stress,12,12,-0.34044805298953357,-0.3386782523705191,0.0017698006190144944,0.9948015545882153,-25.842425058489606,-21.974907644789425,3.867517413700181,0.8503423186892576,-0.34044805298953357,-0.3386782523705191,0.0017698006190144944,0.9948015545882153,-25.842425058489606,-21.974907644789425,3.867517413700181,0.8503423186892576
50,0.0001,confirmatory,12,12,-0.0013644672517995843,-0.001093841469325595,0.0002706257824739893,0.8016619437974322,-283.9790407558121,-180.4721888487245,103.5068519070876,0.6355123546033418,-0.0013644672517995843,-0.001093841469325595,0.0002706257824739893,0.8016619437974322,-283.9790407558121,-180.4721888487245,103.5068519070876,0.6355123546033418
50,0.0003,confirmatory,12,12,-0.004086035691544546,-0.003276990171866544,0.0008090455196780016,0.8019974418353214,-283.6502915551732,-180.2109323303126,103.43935922486062,0.6353278586186805,-0.004086035691544546,-0.003276990171866544,0.0008090455196780016,0.8019974418353214,-283.6502915551732,-180.2109323303126,103.43935922486062,0.6353278586186805
50,0.001,confirmatory,12,12,-0.013534762965277978,-0.010870680804692733,0.0026640821605852447,0.803167431345516,-282.50342200203914,-179.301665508177,103.20175649386215,0.6346884729307201,-0.013534762965277978,-0.010870680804692733,0.0026640821605852447,0.803167431345516,-282.50342200203914,-179.301665508177,103.20175649386215,0.6346884729307201
50,0.003,extended-local,12,12,-0.03988715415385398,-0.032168069122736426,0.0077190850311175535,0.8064769173217208,-279.25634510547593,-176.74686930384226,102.50947580163367,0.6329197971744723,-0.03988715415385398,-0.032168069122736426,0.0077190850311175535,0.8064769173217208,-279.25634510547593,-176.74686930384226,102.50947580163367,0.6329197971744723
50,0.01,extended-local,12,12,-0.12510228646671034,-0.10230486940077098,0.022797417065939365,0.8177697809543574,-268.1636140795365,-168.27648966116985,99.88712441836665,0.6275142518449932,-0.12510228646671034,-0.10230486940077098,0.022797417065939365,0.8177697809543574,-268.1636140795365,-168.27648966116985,99.88712441836665,0.6275142518449932
50,0.03,stress,12,12,-0.2879705775724264,-0.2703127008991409,0.0176578766732855,0.9386816638625367,-221.96261252107394,-147.46018930400342,74.50242321707051,0.6643469710017178,-0.2879705775724264,-0.2703127008991409,0.0176578766732855,0.9386816638625367,-221.96261252107394,-147.46018930400342,74.50242321707051,0.6643469710017178
50,0.1,stress,12,12,-0.6180162712462518,-0.5818856415014724,0.03613062974477943,0.9415377370697365,-129.18402233496556,-95.23044118565863,33.95358114930693,0.7371688809838453,-0.6180162712462518,-0.5818856415014724,0.03613062974477943,0.9415377370697365,-128.23756732032444,-95.23044118565863,33.00712613466581,0.7426095423955029
