landscape_id,split,horizon,relative_error_level,first_order_radius,second_order_radius,first_order_radius_index,second_order_radius_index,radius_index_improvement
S01,source,1,0.01,0.1,0.1,6,6,0
S01,source,1,0.05,0.1,0.1,6,6,0
S01,source,1,0.1,0.1,0.1,6,6,0
S01,source,1,0.2,0.1,0.1,6,6,0
S01,source,5,0.01,0.001,0.03,2,5,3
S01,source,5,0.05,0.01,0.03,4,5,1
S01,source,5,0.1,0.01,0.1,4,6,2
S01,source,5,0.2,0.03,0.1,5,6,1
S01,source,20,0.01,0.0003,0.003,1,3,2
S01,source,20,0.05,0.001,0.01,2,4,2
S01,source,20,0.1,0.003,0.01,3,4,1
S01,source,20,0.2,0.01,0.03,4,5,1
S01,source,50,0.01,0.001,0.01,2,4,2
S01,source,50,0.05,0.003,0.03,3,5,2
S01,source,50,0.1,0.01,0.03,4,5,1
S01,source,50,0.2,0.01,0.03,4,5,1
S02,source,1,0.01,0.1,0.1,6,6,0
S02,source,1,0.05,0.1,0.1,6,6,0
S02,source,1,0.1,0.1,0.1,6,6,0
S02,source,1,0.2,0.1,0.1,6,6,0
S02,source,5,0.01,0.01,0.1,4,6,2
S02,source,5,0.05,0.1,0.1,6,6,0
S02,source,5,0.1,0.1,0.1,6,6,0
S02,source,5,0.2,0.1,0.1,6,6,0
S02,source,20,0.01,0.003,0.03,3,5,2
S02,source,20,0.05,0.01,0.1,4,6,2
S02,source,20,0.1,0.03,0.1,5,6,1
S02,source,20,0.2,0.1,0.1,6,6,0
S02,source,50,0.01,0.003,0.03,3,5,2
S02,source,50,0.05,0.01,0.1,4,6,2
S02,source,50,0.1,0.03,0.1,5,6,1
S02,source,50,0.2,0.03,0.1,5,6,1
S03,source,1,0.01,0.1,0.1,6,6,0
S03,source,1,0.05,0.1,0.1,6,6,0
S03,source,1,0.1,0.1,0.1,6,6,0
S03,source,1,0.2,0.1,0.1,6,6,0
S03,source,5,0.01,0.003,0.03,3,5,2
S03,source,5,0.05,0.01,0.1,4,6,2
S03,source,5,0.1,0.03,0.1,5,6,1
S03,source,5,0.2,0.1,0.1,6,6,0
S03,source,20,0.01,0.001,0.01,2,4,2
S03,source,20,0.05,0.003,0.01,3,4,1
S03,source,20,0.1,0.01,0.03,4,5,1
S03,source,20,0.2,0.01,0.03,4,5,1
S03,source,50,0.01,0.0003,0.003,1,3,2
