landscape_id,model,radius_1pct,radius_5pct,radius_10pct,radius_20pct
N01,first-order,0.001,0.01,0.01,0.03
N01,second-order,0.01,0.03,0.03,0.1
N02,first-order,0.003,0.01,0.01,0.03
N02,second-order,0.01,0.03,0.03,0.03
N03,first-order,0.001,0.01,0.01,0.03
N03,second-order,0.01,0.1,0.1,0.1
N04,first-order,0.001,0.003,0.01,0.03
N04,second-order,0.01,0.03,0.03,0.03
N05,first-order,0.001,0.003,0.01,0.03
N05,second-order,0.01,0.03,0.03,0.03
N06,first-order,0.003,0.01,0.03,0.1
N06,second-order,0.03,0.1,0.1,0.1
N07,first-order,0.001,0.01,0.01,0.03
N07,second-order,0.03,0.03,0.1,0.1
N08,first-order,0.0003,0.003,0.003,0.01
N08,second-order,0.003,0.1,0.1,0.1
N09,first-order,0.001,0.003,0.01,0.01
N09,second-order,0.01,0.03,0.03,0.03
N10,first-order,0.001,0.01,0.01,0.03
N10,second-order,0.01,0.03,0.03,0.1
N11,first-order,0.0003,0.003,0.003,0.01
N11,second-order,0.003,0.01,0.01,0.1
N12,first-order,0.003,0.03,0.03,0.1
N12,second-order,0.03,0.1,0.1,0.1
N13,first-order,0.001,0.003,0.01,0.01
N13,second-order,0.01,0.03,0.03,0.1
N14,first-order,0.001,0.01,0.01,0.03
N14,second-order,0.03,0.03,0.03,0.03
N15,first-order,0.003,0.01,0.03,0.1
N15,second-order,0.03,0.1,0.1,0.1
N16,first-order,0.001,0.01,0.01,0.03
N16,second-order,0.01,0.03,0.03,0.03
