horizon,region,model,count,median_absolute_relative_error,q90_absolute_relative_error,maximum_absolute_relative_error
1,confirmatory,first-order,48,1.7724897385628012e-14,9.944999241578765e-14,5.448133641007466e-13
1,confirmatory,second-order,48,1.7724897385628012e-14,9.944999241578765e-14,5.448133641007466e-13
1,numerical-control,first-order,32,5.124913324934103e-13,2.617930828551661e-12,3.5853068046872326e-12
1,numerical-control,second-order,32,5.124913324934103e-13,2.617930828551661e-12,3.5853068046872326e-12
1,stress,first-order,32,1.5193093598451675e-15,4.365852545522133e-15,7.769646679366468e-15
1,stress,second-order,32,1.5193093598451675e-15,4.365852545522133e-15,7.769646679366468e-15
5,confirmatory,first-order,48,0.004055799768711977,0.01933903658163656,0.02510737803215488
5,confirmatory,second-order,48,6.8457097001564914e-06,0.00014279877819235794,0.00033258647516428135
5,numerical-control,first-order,32,0.0002180528555673123,0.0006494474879090167,0.000762651439242477
5,numerical-control,second-order,32,1.9418913992319776e-08,1.6664372651238855e-07,2.9397501237499467e-07
5,stress,first-order,32,0.06372007768086319,0.19267686149966817,0.2227666544258876
5,stress,second-order,32,0.001676632534200548,0.020427537096798697,0.03374670906639588
20,confirmatory,first-order,48,0.014089721492931945,0.06440491996409227,0.11612681229148616
20,confirmatory,second-order,48,0.00011944360434115609,0.0021919281860309585,0.010753169960367539
20,numerical-control,first-order,32,0.0008065645821361039,0.0022086425919389903,0.003748072000241258
20,numerical-control,second-order,32,3.183645176265085e-07,3.4874525015085828e-06,9.110047369314533e-06
20,stress,first-order,32,0.21414822053868038,0.5196148235767079,0.6232330856695052
20,stress,second-order,32,0.03652073692431039,0.36875372880884855,1.1469390189753281
50,confirmatory,first-order,48,0.02454575286785968,0.0991675381382433,0.29085896386706994
50,confirmatory,second-order,48,0.0006001422486971528,0.010800902528640976,0.134872437744265
50,numerical-control,first-order,32,0.0012122340764395378,0.004073096066913372,0.011159166797711327
50,numerical-control,second-order,32,1.1886848869693506e-06,1.361356792066395e-05,9.59907083542001e-05
50,stress,first-order,32,0.3759265000946938,0.6386722741505789,0.8659304209436343
50,stress,second-order,32,0.1477706952436192,0.937732725391482,2.309767812949533
