landscape_id,role,context,count,defined_count,undefined_count,q10,median,q90,fraction_positive_among_defined,summary_reproduction_error
R01,confirmatory-target,0,2048,2048,0,0.9922106486677352,0.998689059454787,0.9999572544623733,1.0,0.0
R01,confirmatory-target,1,2048,2048,0,0.9765954421978832,0.9962842329259171,0.9998503847225527,1.0,0.0
R02,confirmatory-target,0,2048,2048,0,0.9979161716933179,0.9996837544640431,0.9999908835392656,1.0,0.0
R02,confirmatory-target,1,2048,2048,0,0.9901293278506071,0.9983323202108733,0.9999423192106415,1.0,0.0
R03,confirmatory-target,0,2048,2048,0,0.9991749716660242,0.9998603029113957,0.9999939420286722,1.0,0.0
R03,confirmatory-target,1,2048,2048,0,0.9992699272962347,0.9998785882310405,0.999995172219855,1.0,0.0
R04,confirmatory-target,0,2048,2048,0,0.9756995542372725,0.9959110072707096,0.9998498431472586,1.0,0.0
R04,confirmatory-target,1,2048,2048,0,0.9967477184628307,0.9994821314712414,0.9999837181475032,1.0,0.0
R05,confirmatory-target,0,2048,2048,0,0.9918844075610558,0.998723171725092,0.9999446379359855,1.0,0.0
R05,confirmatory-target,1,2048,2048,0,0.997743875585436,0.9996334333820983,0.9999869675745321,1.0,0.0
R06,confirmatory-target,0,2048,2048,0,0.9898174663289551,0.9983901810854898,0.9999380392078446,1.0,0.0
R06,confirmatory-target,1,2048,2048,0,0.998299224436072,0.9997024507252928,0.9999894017689589,1.0,0.0
R07,confirmatory-target,0,2048,2048,0,0.9944990755836934,0.9991531136244156,0.9999727417316503,1.0,0.0
R07,confirmatory-target,1,2048,2048,0,0.9987197254253106,0.9997977338033626,0.9999921070659257,1.0,0.0
R08,confirmatory-target,0,2048,2048,0,0.9986127529233959,0.9997824229207233,0.9999936248378984,1.0,0.0
R08,confirmatory-target,1,2048,2048,0,0.9890475818226375,0.9981303260689123,0.9999445464919577,1.0,0.0
R09,confirmatory-target,0,2048,2048,0,0.9937993614548869,0.9990045013905127,0.9999655040401332,1.0,0.0
R09,confirmatory-target,1,2048,2048,0,0.9975576257843956,0.9996007411666304,0.9999870390095436,1.0,0.0
R10,confirmatory-target,0,2048,2048,0,0.9999920303944859,0.9999987806606325,0.9999999558671159,1.0,0.0
R10,confirmatory-target,1,2048,2048,0,0.999886037559274,0.9999831607927604,0.9999994225809098,1.0,0.0
S01,stress-target,0,2048,2048,0,0.9973552439904746,0.9995440357185235,0.9999842124141413,1.0,0.0
S01,stress-target,1,2048,1876,172,0.8920467034190405,0.9865684971226714,0.9999422290667936,1.0,0.0
S02,stress-target,0,2048,2048,0,0.5254101120754463,0.5254101120754481,0.9941411504790715,1.0,0.0
S02,stress-target,1,2048,2045,3,0.46338887621741776,0.9891373415064747,0.9959980111687842,1.0,0.0
S03,stress-target,0,2048,2048,0,0.2139095642181377,0.21390956421814056,0.9997383576000859,1.0,0.0
S03,stress-target,1,2048,2048,0,0.016892396869446404,0.016892396869483933,0.9995366997092237,1.0,0.0
S04,stress-target,0,2048,2048,0,0.9999991733026226,0.9999998696023504,0.9999999951820988,1.0,0.0
S04,stress-target,1,2048,1504,544,0.6631216665201712,0.9767594572240593,0.9862448983267103,1.0,0.0
